// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 12 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
BuildScript: D:\LayerOne\Project - MessagePack\PonePOC - WCF using MessagePack_v5\WCF.Client\WCF.Client\bin\Release\3e0b69a9-2f6e-4aaf-8f70-ac707ab6481d.bat
// ***** Done, took 00:00:03 (3.96 sec)   *****
// Found 12 benchmarks:
//   BenchMarkSmallMessages.MessagePackSerialization_SFM: DefaultJob
//   BenchMarkSmallMessages.TransmissionTime_UsingWCF_Msg1: DefaultJob
//   BenchMarkSmallMessages.MessagePackDeserialization_SFM: DefaultJob
//   BenchMarkSmallMessages.MessagePackSerialization_SOM: DefaultJob
//   BenchMarkSmallMessages.TransmissionTime_UsingWCF_Msg2: DefaultJob
//   BenchMarkSmallMessages.MessagePackDeserialization_SOM: DefaultJob
//   BenchMarkSmallMessages.MessagePackSerialization_BFM: DefaultJob
//   BenchMarkSmallMessages.TransmissionTime_UsingWCF_Msg3: DefaultJob
//   BenchMarkSmallMessages.MessagePackDeserialization_BFM: DefaultJob
//   BenchMarkSmallMessages.MessagePackSerialization_BOM: DefaultJob
//   BenchMarkSmallMessages.TransmissionTime_UsingWCF_Msg4: DefaultJob
//   BenchMarkSmallMessages.MessagePackDeserialization_BOM: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: BenchMarkSmallMessages.MessagePackSerialization_SFM: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: D:\LayerOne\Project - MessagePack\PonePOC - WCF using MessagePack_v5\WCF.Client\WCF.Client\bin\Release\3e0b69a9-2f6e-4aaf-8f70-ac707ab6481d.exe --anonymousPipes 1720 1668 --benchmarkName WCF.Client.BenchMarkIT.BenchMarkSmallMessages.MessagePackSerialization_SFM --job Default --benchmarkId 0 in 
// BeforeAnythingElse

// Execute: D:\LayerOne\Project - MessagePack\PonePOC - WCF using MessagePack_v5\WCF.Client\WCF.Client\bin\Release\3e0b69a9-2f6e-4aaf-8f70-ac707ab6481d.exe --anonymousPipes 1740 1744 --benchmarkName WCF.Client.BenchMarkIT.BenchMarkSmallMessages.TransmissionTime_UsingWCF_Msg1 --job Default --benchmarkId 1 in 
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Framework 4.8 (4.8.4614.0), X86 LegacyJIT
// GC=Concurrent Workstation
// HardwareIntrinsics= 
// Job: DefaultJob

OverheadJitting  1: 1 op, 265900.00 ns, 265.9000 us/op
WorkloadJitting  1: 1 op, 304228000.00 ns, 304.2280 ms/op

WorkloadPilot    1: 2 op, 66522600.00 ns, 33.2613 ms/op
WorkloadPilot    2: 3 op, 117060000.00 ns, 39.0200 ms/op
WorkloadPilot    3: 4 op, 127839900.00 ns, 31.9600 ms/op
WorkloadPilot    4: 5 op, 155228300.00 ns, 31.0457 ms/op
WorkloadPilot    5: 6 op, 219672900.00 ns, 36.6122 ms/op
WorkloadPilot    6: 7 op, 242621700.00 ns, 34.6602 ms/op
WorkloadPilot    7: 8 op, 268133900.00 ns, 33.5167 ms/op
WorkloadPilot    8: 9 op, 342411600.00 ns, 38.0457 ms/op
WorkloadPilot    9: 10 op, 335148600.00 ns, 33.5149 ms/op
WorkloadPilot   10: 11 op, 375108200.00 ns, 34.1007 ms/op
WorkloadPilot   11: 12 op, 409863500.00 ns, 34.1553 ms/op
WorkloadPilot   12: 13 op, 440052800.00 ns, 33.8502 ms/op
WorkloadPilot   13: 14 op, 443703600.00 ns, 31.6931 ms/op
WorkloadPilot   14: 15 op, 513626900.00 ns, 34.2418 ms/op

WorkloadWarmup   1: 15 op, 509143700.00 ns, 33.9429 ms/op
WorkloadWarmup   2: 15 op, 479752900.00 ns, 31.9835 ms/op
WorkloadWarmup   3: 15 op, 603258400.00 ns, 40.2172 ms/op
WorkloadWarmup   4: 15 op, 567177600.00 ns, 37.8118 ms/op
WorkloadWarmup   5: 15 op, 584867600.00 ns, 38.9912 ms/op
WorkloadWarmup   6: 15 op, 662302600.00 ns, 44.1535 ms/op
WorkloadWarmup   7: 15 op, 528716200.00 ns, 35.2477 ms/op

// BeforeActualRun
WorkloadActual   1: 15 op, 532292200.00 ns, 35.4861 ms/op
WorkloadActual   2: 15 op, 500958200.00 ns, 33.3972 ms/op
WorkloadActual   3: 15 op, 519796600.00 ns, 34.6531 ms/op
WorkloadActual   4: 15 op, 525317900.00 ns, 35.0212 ms/op
WorkloadActual   5: 15 op, 515838200.00 ns, 34.3892 ms/op
WorkloadActual   6: 15 op, 537989300.00 ns, 35.8660 ms/op
WorkloadActual   7: 15 op, 545349000.00 ns, 36.3566 ms/op
WorkloadActual   8: 15 op, 535724700.00 ns, 35.7150 ms/op
WorkloadActual   9: 15 op, 547088900.00 ns, 36.4726 ms/op
WorkloadActual  10: 15 op, 521843900.00 ns, 34.7896 ms/op
WorkloadActual  11: 15 op, 535698400.00 ns, 35.7132 ms/op
WorkloadActual  12: 15 op, 527452600.00 ns, 35.1635 ms/op
WorkloadActual  13: 15 op, 556785200.00 ns, 37.1190 ms/op
WorkloadActual  14: 15 op, 536937400.00 ns, 35.7958 ms/op
WorkloadActual  15: 15 op, 507823200.00 ns, 33.8549 ms/op
WorkloadActual  16: 15 op, 558630600.00 ns, 37.2420 ms/op
WorkloadActual  17: 15 op, 521450200.00 ns, 34.7633 ms/op
WorkloadActual  18: 15 op, 506023400.00 ns, 33.7349 ms/op
WorkloadActual  19: 15 op, 505700500.00 ns, 33.7134 ms/op
WorkloadActual  20: 15 op, 516975200.00 ns, 34.4650 ms/op
WorkloadActual  21: 15 op, 578444600.00 ns, 38.5630 ms/op
WorkloadActual  22: 15 op, 537906200.00 ns, 35.8604 ms/op
WorkloadActual  23: 15 op, 551562400.00 ns, 36.7708 ms/op
WorkloadActual  24: 15 op, 552079000.00 ns, 36.8053 ms/op
WorkloadActual  25: 15 op, 505253200.00 ns, 33.6835 ms/op
WorkloadActual  26: 15 op, 523857600.00 ns, 34.9238 ms/op
WorkloadActual  27: 15 op, 532893900.00 ns, 35.5263 ms/op
WorkloadActual  28: 15 op, 532521100.00 ns, 35.5014 ms/op
WorkloadActual  29: 15 op, 509430800.00 ns, 33.9621 ms/op
WorkloadActual  30: 15 op, 493226600.00 ns, 32.8818 ms/op
WorkloadActual  31: 15 op, 516339900.00 ns, 34.4227 ms/op
WorkloadActual  32: 15 op, 527364500.00 ns, 35.1576 ms/op
WorkloadActual  33: 15 op, 539531600.00 ns, 35.9688 ms/op
WorkloadActual  34: 15 op, 611146000.00 ns, 40.7431 ms/op
WorkloadActual  35: 15 op, 559214000.00 ns, 37.2809 ms/op
WorkloadActual  36: 15 op, 598899200.00 ns, 39.9266 ms/op
WorkloadActual  37: 15 op, 540425800.00 ns, 36.0284 ms/op
WorkloadActual  38: 15 op, 620616200.00 ns, 41.3744 ms/op
WorkloadActual  39: 15 op, 629835600.00 ns, 41.9890 ms/op
WorkloadActual  40: 15 op, 559154900.00 ns, 37.2770 ms/op
WorkloadActual  41: 15 op, 729632300.00 ns, 48.6422 ms/op
WorkloadActual  42: 15 op, 637343000.00 ns, 42.4895 ms/op
WorkloadActual  43: 15 op, 575268700.00 ns, 38.3512 ms/op
WorkloadActual  44: 15 op, 564252700.00 ns, 37.6168 ms/op
WorkloadActual  45: 15 op, 558440600.00 ns, 37.2294 ms/op
WorkloadActual  46: 15 op, 562371100.00 ns, 37.4914 ms/op
WorkloadActual  47: 15 op, 553522500.00 ns, 36.9015 ms/op
WorkloadActual  48: 15 op, 706522100.00 ns, 47.1015 ms/op
WorkloadActual  49: 15 op, 570554400.00 ns, 38.0370 ms/op
WorkloadActual  50: 15 op, 631710200.00 ns, 42.1140 ms/op
WorkloadActual  51: 15 op, 613684400.00 ns, 40.9123 ms/op
WorkloadActual  52: 15 op, 619738700.00 ns, 41.3159 ms/op
WorkloadActual  53: 15 op, 593537500.00 ns, 39.5692 ms/op
WorkloadActual  54: 15 op, 648648800.00 ns, 43.2433 ms/op
WorkloadActual  55: 15 op, 589936700.00 ns, 39.3291 ms/op
WorkloadActual  56: 15 op, 559694800.00 ns, 37.3130 ms/op
WorkloadActual  57: 15 op, 617866800.00 ns, 41.1911 ms/op
WorkloadActual  58: 15 op, 597442300.00 ns, 39.8295 ms/op
WorkloadActual  59: 15 op, 619763200.00 ns, 41.3175 ms/op
WorkloadActual  60: 15 op, 505229100.00 ns, 33.6819 ms/op
WorkloadActual  61: 15 op, 749020300.00 ns, 49.9347 ms/op
WorkloadActual  62: 15 op, 529465200.00 ns, 35.2977 ms/op
WorkloadActual  63: 15 op, 520451900.00 ns, 34.6968 ms/op
WorkloadActual  64: 15 op, 536578400.00 ns, 35.7719 ms/op
WorkloadActual  65: 15 op, 574865400.00 ns, 38.3244 ms/op
WorkloadActual  66: 15 op, 554101700.00 ns, 36.9401 ms/op
WorkloadActual  67: 15 op, 563488900.00 ns, 37.5659 ms/op
WorkloadActual  68: 15 op, 540328800.00 ns, 36.0219 ms/op
WorkloadActual  69: 15 op, 542270500.00 ns, 36.1514 ms/op
WorkloadActual  70: 15 op, 630900700.00 ns, 42.0600 ms/op
WorkloadActual  71: 15 op, 603669600.00 ns, 40.2446 ms/op
WorkloadActual  72: 15 op, 533263400.00 ns, 35.5509 ms/op
WorkloadActual  73: 15 op, 530535600.00 ns, 35.3690 ms/op
WorkloadActual  74: 15 op, 591844700.00 ns, 39.4563 ms/op
WorkloadActual  75: 15 op, 572445700.00 ns, 38.1630 ms/op
WorkloadActual  76: 15 op, 497114300.00 ns, 33.1410 ms/op
WorkloadActual  77: 15 op, 517923100.00 ns, 34.5282 ms/op
WorkloadActual  78: 15 op, 506809100.00 ns, 33.7873 ms/op
WorkloadActual  79: 15 op, 528237900.00 ns, 35.2159 ms/op
WorkloadActual  80: 15 op, 566165500.00 ns, 37.7444 ms/op
WorkloadActual  81: 15 op, 542521300.00 ns, 36.1681 ms/op
WorkloadActual  82: 15 op, 550808900.00 ns, 36.7206 ms/op
WorkloadActual  83: 15 op, 512599300.00 ns, 34.1733 ms/op
WorkloadActual  84: 15 op, 478802200.00 ns, 31.9201 ms/op
WorkloadActual  85: 15 op, 494331800.00 ns, 32.9555 ms/op
WorkloadActual  86: 15 op, 496775000.00 ns, 33.1183 ms/op
WorkloadActual  87: 15 op, 508721500.00 ns, 33.9148 ms/op
WorkloadActual  88: 15 op, 485994900.00 ns, 32.3997 ms/op
WorkloadActual  89: 15 op, 482529100.00 ns, 32.1686 ms/op
WorkloadActual  90: 15 op, 487181300.00 ns, 32.4788 ms/op
WorkloadActual  91: 15 op, 490414200.00 ns, 32.6943 ms/op
WorkloadActual  92: 15 op, 522276300.00 ns, 34.8184 ms/op
WorkloadActual  93: 15 op, 496634200.00 ns, 33.1089 ms/op
WorkloadActual  94: 15 op, 504938500.00 ns, 33.6626 ms/op
WorkloadActual  95: 15 op, 511330200.00 ns, 34.0887 ms/op
WorkloadActual  96: 15 op, 505430900.00 ns, 33.6954 ms/op
WorkloadActual  97: 15 op, 493267700.00 ns, 32.8845 ms/op
WorkloadActual  98: 15 op, 508400700.00 ns, 33.8934 ms/op
WorkloadActual  99: 15 op, 520794200.00 ns, 34.7196 ms/op
WorkloadActual  100: 15 op, 484181700.00 ns, 32.2788 ms/op

// AfterActualRun
WorkloadResult   1: 15 op, 532292200.00 ns, 35.4861 ms/op
WorkloadResult   2: 15 op, 500958200.00 ns, 33.3972 ms/op
WorkloadResult   3: 15 op, 519796600.00 ns, 34.6531 ms/op
WorkloadResult   4: 15 op, 525317900.00 ns, 35.0212 ms/op
WorkloadResult   5: 15 op, 515838200.00 ns, 34.3892 ms/op
WorkloadResult   6: 15 op, 537989300.00 ns, 35.8660 ms/op
WorkloadResult   7: 15 op, 545349000.00 ns, 36.3566 ms/op
WorkloadResult   8: 15 op, 535724700.00 ns, 35.7150 ms/op
WorkloadResult   9: 15 op, 547088900.00 ns, 36.4726 ms/op
WorkloadResult  10: 15 op, 521843900.00 ns, 34.7896 ms/op
WorkloadResult  11: 15 op, 535698400.00 ns, 35.7132 ms/op
WorkloadResult  12: 15 op, 527452600.00 ns, 35.1635 ms/op
WorkloadResult  13: 15 op, 556785200.00 ns, 37.1190 ms/op
WorkloadResult  14: 15 op, 536937400.00 ns, 35.7958 ms/op
WorkloadResult  15: 15 op, 507823200.00 ns, 33.8549 ms/op
WorkloadResult  16: 15 op, 558630600.00 ns, 37.2420 ms/op
WorkloadResult  17: 15 op, 521450200.00 ns, 34.7633 ms/op
WorkloadResult  18: 15 op, 506023400.00 ns, 33.7349 ms/op
WorkloadResult  19: 15 op, 505700500.00 ns, 33.7134 ms/op
WorkloadResult  20: 15 op, 516975200.00 ns, 34.4650 ms/op
WorkloadResult  21: 15 op, 578444600.00 ns, 38.5630 ms/op
WorkloadResult  22: 15 op, 537906200.00 ns, 35.8604 ms/op
WorkloadResult  23: 15 op, 551562400.00 ns, 36.7708 ms/op
WorkloadResult  24: 15 op, 552079000.00 ns, 36.8053 ms/op
WorkloadResult  25: 15 op, 505253200.00 ns, 33.6835 ms/op
WorkloadResult  26: 15 op, 523857600.00 ns, 34.9238 ms/op
WorkloadResult  27: 15 op, 532893900.00 ns, 35.5263 ms/op
WorkloadResult  28: 15 op, 532521100.00 ns, 35.5014 ms/op
WorkloadResult  29: 15 op, 509430800.00 ns, 33.9621 ms/op
WorkloadResult  30: 15 op, 493226600.00 ns, 32.8818 ms/op
